step	total_gs	compute_gs	write_gs
611	1.99101e+06	1.33989e+06	4.883
612	1.99101e+06	1.33989e+06	4.884
613	1.99101e+06	1.33989e+06	4.885
614	1.99101e+06	1.3399e+06	4.886
615	1.99101e+06	1.3399e+06	4.886
616	1.99101e+06	1.3399e+06	4.886
617	1.99101e+06	1.3399e+06	4.887
618	1.99101e+06	1.3399e+06	4.888
619	1.99101e+06	1.3399e+06	4.888
620	1.99101e+06	1.3399e+06	4.961
621	1.99761e+06	1.3443e+06	4.962
622	2.00421e+06	1.3487e+06	4.963
623	2.01081e+06	1.3531e+06	4.963
624	2.01741e+06	1.3575e+06	4.964
625	2.02401e+06	1.3619e+06	4.965
626	2.03061e+06	1.3663e+06	4.966
627	2.03721e+06	1.3707e+06	4.966
628	2.04601e+06	1.3751e+06	4.967
629	2.05261e+06	1.3795e+06	4.968
630	2.06031e+06	1.385e+06	5.039
631	2.06801e+06	1.3894e+06	5.039
632	2.07461e+06	1.3938e+06	5.04
633	2.08121e+06	1.3982e+06	5.041
634	2.08781e+06	1.4026e+06	5.041
635	2.09441e+06	1.407e+06	5.042
636	2.10101e+06	1.4114e+06	5.043
637	2.10761e+06	1.4158e+06	5.044
638	2.11421e+06	1.4202e+06	5.045
639	2.12081e+06	1.4246e+06	5.045
640	2.12741e+06	1.429e+06	5.117
641	2.12741e+06	1.429e+06	5.117
642	2.12741e+06	1.429e+06	5.118
643	2.12741e+06	1.429e+06	5.119
644	2.12741e+06	1.429e+06	5.119
645	2.12741e+06	1.429e+06	5.12
646	2.12741e+06	1.429e+06	5.121
647	2.12741e+06	1.429e+06	5.122
648	2.12741e+06	1.429e+06	5.122
649	2.12741e+06	1.429e+06	5.123
650	2.12741e+06	1.429e+06	5.196
651	2.13401e+06	1.4334e+06	5.197
652	2.14061e+06	1.4378e+06	5.198
653	2.14721e+06	1.4422e+06	5.199
654	2.15381e+06	1.4466e+06	5.2
655	2.15931e+06	1.451e+06	5.201
656	2.16481e+06	1.4554e+06	5.202
657	2.17141e+06	1.4598e+06	5.203
658	2.17801e+06	1.4642e+06	5.203
659	2.18461e+06	1.4686e+06	5.204
660	2.19121e+06	1.473e+06	5.277
661	2.19121e+06	1.473e+06	5.278
662	2.19121e+06	1.473e+06	5.278
663	2.19121e+06	1.473e+06	5.279
664	2.19121e+06	1.473e+06	5.279
665	2.19121e+06	1.473e+06	5.279
666	2.19121e+06	1.473e+06	5.279
667	2.19121e+06	1.47301e+06	5.28
668	2.19121e+06	1.47301e+06	5.28
669	2.19121e+06	1.47301e+06	5.281
670	2.19121e+06	1.47301e+06	5.354
671	2.19781e+06	1.47741e+06	5.355
672	2.20441e+06	1.48181e+06	5.355
673	2.21101e+06	1.48621e+06	5.355
674	2.21761e+06	1.49061e+06	5.356
675	2.22421e+06	1.49501e+06	5.357
676	2.23081e+06	1.49941e+06	5.358
677	2.23741e+06	1.50381e+06	5.359
678	2.24401e+06	1.50821e+06	5.36
679	2.25061e+06	1.51261e+06	5.361
680	2.25721e+06	1.51701e+06	5.434
681	2.25721e+06	1.51701e+06	5.435
682	2.25721e+06	1.51701e+06	5.436
683	2.25721e+06	1.51701e+06	5.437
684	2.25721e+06	1.51701e+06	5.438
685	2.25721e+06	1.51701e+06	5.438
686	2.25721e+06	1.51701e+06	5.439
687	2.25721e+06	1.51701e+06	5.44
688	2.25721e+06	1.51701e+06	5.441
689	2.25721e+06	1.51701e+06	5.441
690	2.25721e+06	1.51701e+06	5.514
691	2.26381e+06	1.52141e+06	5.515
692	2.27041e+06	1.52581e+06	5.516
693	2.27591e+06	1.53021e+06	5.517
694	2.28251e+06	1.53461e+06	5.518
695	2.28911e+06	1.53901e+06	5.519
696	2.29571e+06	1.54341e+06	5.52
697	2.30231e+06	1.54781e+06	5.521
698	2.30781e+06	1.55221e+06	5.522
699	2.31331e+06	1.55551e+06	5.522
700	2.31991e+06	1.55991e+06	5.596
701	2.31991e+06	1.55991e+06	5.597
702	2.31991e+06	1.55991e+06	5.598
703	2.31991e+06	1.55992e+06	5.599
704	2.31991e+06	1.55992e+06	5.6
705	2.31991e+06	1.55992e+06	5.6
706	2.31991e+06	1.55992e+06	5.601
707	2.31991e+06	1.55992e+06	5.602
708	2.31991e+06	1.55992e+06	5.603
709	2.31991e+06	1.55992e+06	5.603
710	2.31991e+06	1.55992e+06	5.676
711	2.32651e+06	1.56432e+06	5.677
712	2.33311e+06	1.56872e+06	5.678
713	2.33971e+06	1.57312e+06	5.678
714	2.34631e+06	1.57752e+06	5.679
715	2.35291e+06	1.58192e+06	5.68
716	2.35841e+06	1.58632e+06	5.681
717	2.36391e+06	1.58962e+06	5.682
718	2.37051e+06	1.59402e+06	5.683
719	2.37711e+06	1.59842e+06	5.684
720	2.38371e+06	1.60282e+06	5.757
721	2.38371e+06	1.60282e+06	5.758
722	2.38371e+06	1.60282e+06	5.759
723	2.38371e+06	1.60282e+06	5.76
724	2.38371e+06	1.60282e+06	5.761
725	2.38371e+06	1.60282e+06	5.762
726	2.38371e+06	1.60282e+06	5.762
727	2.38371e+06	1.60282e+06	5.763
728	2.38371e+06	1.60282e+06	5.764
729	2.38371e+06	1.60282e+06	5.764
730	2.38371e+06	1.60282e+06	5.837
731	2.39031e+06	1.60722e+06	5.837
732	2.39691e+06	1.61162e+06	5.837
733	2.40351e+06	1.61602e+06	5.837
734	2.41011e+06	1.62042e+06	5.838
735	2.41671e+06	1.62482e+06	5.839
736	2.42331e+06	1.62922e+06	5.84
737	2.42991e+06	1.63362e+06	5.841
738	2.43651e+06	1.63802e+06	5.841
739	2.44311e+06	1.64242e+06	5.842
740	2.44971e+06	1.64682e+06	5.915
741	2.44971e+06	1.64682e+06	5.916
742	2.44971e+06	1.64682e+06	5.916
743	2.44971e+06	1.64683e+06	5.916
744	2.44971e+06	1.64683e+06	5.917
745	2.44971e+06	1.64683e+06	5.918
746	2.44971e+06	1.64683e+06	5.919
747	2.44971e+06	1.64683e+06	5.92
748	2.44971e+06	1.64683e+06	5.921
749	2.44971e+06	1.64683e+06	5.922
750	2.44971e+06	1.64683e+06	5.996
751	2.45631e+06	1.65123e+06	5.997
752	2.46291e+06	1.65563e+06	5.997
753	2.46951e+06	1.66003e+06	5.997
754	2.47611e+06	1.66443e+06	5.998
755	2.48271e+06	1.66883e+06	5.999
756	2.48931e+06	1.67323e+06	6
757	2.49591e+06	1.67763e+06	6.001
758	2.50251e+06	1.68203e+06	6.002
759	2.50911e+06	1.68643e+06	6.003
760	2.51571e+06	1.69083e+06	6.076
761	2.51571e+06	1.69083e+06	6.076
